Date,Close
2019-05-13,0.646697
2019-05-14,0.823082
2019-05-15,0.845574
2019-05-16,0.926125
2019-05-17,0.887731
2019-05-18,0.934154
2019-05-19,0.99435
2019-05-20,1.13
2019-05-21,1.19
2019-05-22,1.22
2019-05-23,1.34
2019-05-24,1.34
2019-05-25,1.13
2019-05-26,1.09
2019-05-27,1.21
2019-05-28,1.28
2019-05-29,1.18
2019-05-30,1.02
2019-05-31,1.02
2019-06-01,0.965132
2019-06-02,1.01
2019-06-03,0.910969
2019-06-04,0.88325
2019-06-05,1.08
2019-06-06,1.12
2019-06-07,1.18
2019-06-08,1.15
2019-06-09,1.07
2019-06-10,1.19
2019-06-11,1.14
2019-06-12,1.14
2019-06-13,1.85
2019-06-14,1.68
2019-06-15,1.72
2019-06-16,1.67
2019-06-17,1.97
2019-06-18,1.82
2019-06-19,1.84
2019-06-20,1.77
2019-06-21,1.7
2019-06-22,1.84
2019-06-23,1.8
2019-06-24,1.86
2019-06-25,2.19
2019-06-26,2.26
2019-06-27,2.27
2019-06-28,2.96
2019-06-29,3.7
2019-06-30,3.45
2019-07-01,3.59
2019-07-02,3.65
2019-07-03,3.53
2019-07-04,3.48
2019-07-05,3.62
2019-07-06,3.48
2019-07-07,3.31
2019-07-08,3.34
2019-07-09,3.11
2019-07-10,3.12
2019-07-11,2.83
2019-07-12,3.17
2019-07-13,3.17
2019-07-14,2.79
2019-07-15,2.73
2019-07-16,2.2
2019-07-17,2.38
2019-07-18,2.68
2019-07-19,2.61
2019-07-20,2.64
2019-07-21,2.55
2019-07-22,2.43
2019-07-23,2.37
2019-07-24,2.41
2019-07-25,2.38
2019-07-26,2.4
2019-07-27,2.26
2019-07-28,2.22
2019-07-29,2.14
2019-07-30,2.09
2019-07-31,2.2
2019-08-01,2.18
2019-08-02,2.4
2019-08-03,2.43
2019-08-04,2.5
2019-08-05,2.48
2019-08-06,2.46
2019-08-07,2.39
2019-08-08,2.29
2019-08-09,2.18
2019-08-10,2.32
2019-08-11,2.4
2019-08-12,2.38
2019-08-13,2.41
2019-08-14,2.27
2019-08-15,2.41
2019-08-16,2.32
2019-08-17,2.39
2019-08-18,2.5
2019-08-19,2.51
2019-08-20,2.38
2019-08-21,2.22
2019-08-22,2.23
2019-08-23,2.25
2019-08-24,2.19
2019-08-25,2.09
2019-08-26,2.08
2019-08-27,2.11
2019-08-28,1.9
2019-08-29,1.78
2019-08-30,1.81
2019-08-31,1.79
2019-09-01,1.78
2019-09-02,1.83
2019-09-03,1.85
2019-09-04,1.79
2019-09-05,1.8
2019-09-06,1.73
2019-09-07,1.78
2019-09-08,1.83
2019-09-09,1.8
2019-09-10,1.8
2019-09-11,1.73
2019-09-12,1.71
2019-09-13,1.58
2019-09-14,1.57
2019-09-15,1.62
2019-09-16,1.58
2019-09-17,1.63
2019-09-18,1.81
2019-09-19,1.88
