Date,Close
2019-05-13,5.58
2019-05-14,6.05
2019-05-15,6.48
2019-05-16,6.5
2019-05-17,6.02
2019-05-18,5.89
2019-05-19,6.49
2019-05-20,6.25
2019-05-21,6.29
2019-05-22,5.97
2019-05-23,6.05
2019-05-24,6.4
2019-05-25,6.39
2019-05-26,6.91
2019-05-27,7.98
2019-05-28,8.05
2019-05-29,7.98
2019-05-30,7.37
2019-05-31,8.51
2019-06-01,7.78
2019-06-02,7.77
2019-06-03,6.8
2019-06-04,6.31
2019-06-05,6.45
2019-06-06,6.39
2019-06-07,6.66
2019-06-08,6.41
2019-06-09,6.17
2019-06-10,6.42
2019-06-11,6.34
2019-06-12,6.44
2019-06-13,6.46
2019-06-14,6.59
2019-06-15,6.9
2019-06-16,6.99
2019-06-17,7.13
2019-06-18,6.8
2019-06-19,6.87
2019-06-20,6.84
2019-06-21,7.09
2019-06-22,7.47
2019-06-23,7.25
2019-06-24,7.23
2019-06-25,7.2
2019-06-26,6.77
2019-06-27,5.9
2019-06-28,6.26
2019-06-29,6.4
2019-06-30,5.77
2019-07-01,6.02
2019-07-02,5.9
2019-07-03,6.11
2019-07-04,5.75
2019-07-05,5.76
2019-07-06,5.76
2019-07-07,5.96
2019-07-08,5.98
2019-07-09,5.9
2019-07-10,5.29
2019-07-11,4.69
2019-07-12,4.82
2019-07-13,4.75
2019-07-14,4.12
2019-07-15,4.32
2019-07-16,3.68
2019-07-17,3.85
2019-07-18,4.12
2019-07-19,4.05
2019-07-20,4.32
2019-07-21,4.33
2019-07-22,4.13
2019-07-23,4.16
2019-07-24,4.6
2019-07-25,4.58
2019-07-26,4.63
2019-07-27,4.27
2019-07-28,4.25
2019-07-29,4.22
2019-07-30,4.22
2019-07-31,4.43
2019-08-01,4.33
2019-08-02,4.19
2019-08-03,4.3
2019-08-04,4.24
2019-08-05,4.49
2019-08-06,4.19
2019-08-07,4.23
2019-08-08,4.16
2019-08-09,3.91
2019-08-10,4.07
2019-08-11,4.19
2019-08-12,4.13
2019-08-13,4.07
