Date,Close
2019-07-13,269.46
2019-07-14,227.58
2019-07-15,229.78
2019-07-16,199.19
2019-07-17,211.48
2019-07-18,226.57
2019-07-19,221.33
2019-07-20,229.12
2019-07-21,225.63
2019-07-22,217.56
2019-07-23,212.73
2019-07-24,217.05
2019-07-25,219.62
2019-07-26,219.63
2019-07-27,207.41
2019-07-28,211.19
2019-07-29,211.27
2019-07-30,210.52
2019-07-31,218.65
2019-08-01,217.81
2019-08-02,217.87
2019-08-03,222.49
2019-08-04,222.67
2019-08-05,234.22
2019-08-06,226.02
2019-08-07,226.39
2019-08-08,220.94
2019-08-09,210.49
2019-08-10,206.73
2019-08-11,216.09
2019-08-12,211.29
2019-08-13,208.71
2019-08-14,186.61
2019-08-15,188.5
2019-08-16,185.44
2019-08-17,185.69
2019-08-18,194.49
2019-08-19,203.09
2019-08-20,196.57
2019-08-21,186.89
2019-08-22,191.33
2019-08-23,194.71
2019-08-24,191.29
2019-08-25,186.84
2019-08-26,188.93
2019-08-27,187.52
2019-08-28,173.89
2019-08-29,169.52
2019-08-30,168.83
2019-08-31,172.47
2019-09-01,171.63
2019-09-02,178.35
2019-09-03,179.5
