Date,Close
2019-07-13,101.02
2019-07-14,89.77
2019-07-15,90.92
2019-07-16,79.5
2019-07-17,89.81
2019-07-18,101.09
2019-07-19,98.4
2019-07-20,100.61
2019-07-21,99.63
2019-07-22,95.42
2019-07-23,90.62
2019-07-24,94.31
2019-07-25,93.45
2019-07-26,94.31
2019-07-27,88.89
2019-07-28,89.77
2019-07-29,90.43
2019-07-30,90.57
2019-07-31,98.51
2019-08-01,99.18
2019-08-02,94.94
2019-08-03,94.58
2019-08-04,93.2
2019-08-05,96.83
2019-08-06,93.07
2019-08-07,90.91
2019-08-08,90.03
2019-08-09,84.44
2019-08-10,85.42
2019-08-11,89.75
2019-08-12,85.75
2019-08-13,84.41
2019-08-14,76.06
2019-08-15,76.39
2019-08-16,74.92
2019-08-17,72.8
2019-08-18,76.27
2019-08-19,77.26
2019-08-20,75.2
2019-08-21,72.96
2019-08-22,73.6
2019-08-23,75.4
2019-08-24,73.46
2019-08-25,72.31
2019-08-26,73.86
2019-08-27,72.84
2019-08-28,67.43
2019-08-29,64.1
2019-08-30,64.33
2019-08-31,64.58
2019-09-01,66.14
2019-09-02,66.94
2019-09-03,69.13
